zpid,price,street,city,state,zipcode,beds,baths,area,latitude,longitude,home_type,tax_assessed_value,lot_area_value,days_on_zillow
58678313,440000,2022 Bailey St,Houston,TX,77006,3.0,3.0,2234.0,29.750408,-95.38254,TOWNHOUSE,396000.0,1983.0,0
52415058,709000,7103 Mohave Hls,Houston,TX,77069,4.0,4.0,4139.0,29.984324,-95.545555,SINGLE_FAMILY,591454.0,0.255,6
28481211,209500,3154 Holly Hall St #3154,Houston,TX,77054,2.0,3.0,1600.0,29.68623,-95.38198,TOWNHOUSE,184893.0,15.5427,109
27978574,1399900,9618 Long Branch Ln,Houston,TX,77055,5.0,6.0,4302.0,29.789618,-95.52681,SINGLE_FAMILY,353266.0,8450.64,149
28445630,139900,12550 Whittington Dr APT 1012,Houston,TX,77077,2.0,2.0,1002.0,29.74737,-95.604454,CONDO,132178.0,2.2527,91
97624244,529900,604 Jackson Hill St UNIT D,Houston,TX,77007,3.0,4.0,2325.0,29.766731,-95.401665,TOWNHOUSE,543272.0,1403.0,4
89649120,634900,5341 Nolda St,Houston,TX,77007,3.0,3.0,2545.0,29.77574,-95.4177,SINGLE_FAMILY,528289.0,2558.0,56
28499362,588000,6791 Lempira Ct,Houston,TX,77069,4.0,5.0,3807.0,29.98099,-95.538864,SINGLE_FAMILY,424984.0,0.26680000000000004,5
28484621,125000,2626 Holly Hall St APT 902,Houston,TX,77054,2.0,2.0,1012.0,29.684467,-95.388435,CONDO,123945.0,2.0578,99
126258294,470000,2130 Dennis St,Houston,TX,77004,3.0,4.0,2365.0,29.738188,-95.3651,SINGLE_FAMILY,427422.0,1694.484,40
27935925,525000,3810 Cosby St,Houston,TX,77021,4.0,3.0,2465.0,29.697598,-95.36174,SINGLE_FAMILY,316708.0,6481.728,7
27779133,230000,4843 Bricker St,Houston,TX,77033,3.0,3.0,1925.0,29.672125,-95.35272,SINGLE_FAMILY,156476.0,0.2525,41
27769222,420000,7124 Avenue P,Houston,TX,77011,3.0,2.0,1684.0,29.744526,-95.29479,SINGLE_FAMILY,444511.0,10001.376,64
28401539,264999,1860 White Oak Dr APT 249,Houston,TX,77009,2.0,3.0,1224.0,29.782377,-95.37674,CONDO,269781.0,1.6582,27
28106217,830000,7603 Del Monte Dr,Houston,TX,77063,3.0,4.0,2912.0,29.745314,-95.502884,TOWNHOUSE,442277.0,2238.0,120
28500718,359000,1606 Mabry Mill Rd,Houston,TX,77062,4.0,3.0,2250.0,29.586952,-95.14068,SINGLE_FAMILY,362143.0,6886.836,21
97596872,341500,1415 Milby St,Houston,TX,77003,3.0,2.0,1234.0,29.739529,-95.34279,SINGLE_FAMILY,359144.0,4499.748,90
80582336,252000,13030 Crescent Manor Ln,Houston,TX,77072,3.0,2.0,1575.0,29.686096,-95.612305,SINGLE_FAMILY,245022.0,4830.804,69
28417716,109000,18519 Egret Bay Blvd APT 1706,Houston,TX,77058,2.0,1.0,788.0,29.540857,-95.098885,CONDO,122104.0,3.0849,4
28106911,223000,7023 Venus St,Houston,TX,77088,3.0,1.0,1245.0,29.864395,-95.45069,SINGLE_FAMILY,145596.0,6608.052,77
28089300,790000,18214 Nassau Bay Dr,Houston,TX,77058,4.0,3.0,3139.0,29.542574,-95.09979,SINGLE_FAMILY,600157.0,0.9366000000000001,24
28424790,69900,12500 Sandpiper Dr APT 184,Houston,TX,77035,2.0,1.0,966.0,29.640802,-95.50385,CONDO,63199.0,4.5457,58
28106496,575000,18603 Point Lookout Dr,Houston,TX,77058,4.0,3.0,2957.0,29.539387,-95.090225,SINGLE_FAMILY,467154.0,0.26189999999999997,60
2053971110,325000,12214 Heather Flower Ln,Houston,TX,77014,4.0,3.0,2037.0,29.967049,-95.464455,SINGLE_FAMILY,56478.0,4957.128,176
28148745,629000,10811 Cranbrook Rd,Houston,TX,77042,5.0,4.0,2872.0,29.756077,-95.567894,SINGLE_FAMILY,591315.0,9761.796,81
2056842644,314900,6412 Leopold Star Ln,Houston,TX,77048,3.0,3.0,1735.0,29.608591,-95.3087,SINGLE_FAMILY,36449.0,2858.0,124
28036839,260000,11039 Cedarview Ln,Houston,TX,77041,4.0,3.0,1640.0,29.8607,-95.57236,SINGLE_FAMILY,205486.0,7801.596,2
27842761,1125000,1971 W McKinney St,Houston,TX,77019,2.0,2.0,3654.0,29.759144,-95.389786,SINGLE_FAMILY,1171418.0,5000.688,25
161434703,274990,16547 Mablethorpe Ln,Houston,TX,77073,3.0,3.0,2108.0,30.013609,-95.410255,SINGLE_FAMILY,288069.0,4599.936,26
28378006,301000,6531 Alisa Ln,Houston,TX,77084,4.0,3.0,2052.0,29.87109,-95.64031,SINGLE_FAMILY,290047.0,6825.852,41
28370799,75000,6601 Sands Point Dr APT 48,Houston,TX,77074,1.0,1.0,804.0,29.710314,-95.499725,CONDO,105041.0,3.7069,7
97671770,325000,6935 Ardmore St,Houston,TX,77054,2.0,3.0,1938.0,29.697668,-95.37763,TOWNHOUSE,330853.0,1483.0,2
27888488,175000,5802 Crane St,Houston,TX,77026,2.0,1.0,1038.0,29.796854,-95.311584,SINGLE_FAMILY,187985.0,10859.508,15
27906992,329900,5834 Imogene St,Houston,TX,77074,3.0,3.0,1722.0,29.683426,-95.4955,SINGLE_FAMILY,322709.0,7000.092,28
28294269,100000,2501 Marilee Ln APT 1,Houston,TX,77057,1.0,1.0,788.0,29.740498,-95.49788,TOWNHOUSE,87468.0,6.4135,46
27970613,359999,303 Victoria Dr,Houston,TX,77022,2.0,2.0,1310.0,29.83588,-95.39754,SINGLE_FAMILY,313429.0,9099.684,35
28448807,255000,9314 Rippling Fields Dr,Houston,TX,77064,3.0,2.0,1227.0,29.928125,-95.562485,SINGLE_FAMILY,220419.0,4634.784,111
28194484,156900,7724 Challie Ln #7724,Houston,TX,77088,3.0,3.0,1907.0,29.87996,-95.476234,TOWNHOUSE,165988.0,1403.0,25
27816747,325000,5217 Claremont St,Houston,TX,77023,3.0,2.0,1240.0,29.730194,-95.32363,SINGLE_FAMILY,250356.0,5301.252,113
80523982,295600,19926 Bettencourt Ln,Houston,TX,77073,4.0,3.0,2144.0,29.979965,-95.398445,SINGLE_FAMILY,253277.0,5174.928,20
27984296,241000,5219 Myrtlewood St,Houston,TX,77033,4.0,2.0,1120.0,29.66817,-95.34561,SINGLE_FAMILY,222505.0,6159.384,47
27912480,1380000,1906 Ebony Ln,Houston,TX,77018,4.0,4.0,3892.0,29.8221,-95.44621,SINGLE_FAMILY,1095700.0,7801.596,57
28324583,135000,2120 Wilcrest Dr APT 113,Houston,TX,77042,2.0,3.0,1200.0,29.743347,-95.57276,CONDO,134646.0,1.8222,77
27775996,550000,1106 Oneil St,Houston,TX,77019,2.0,1.0,1428.0,29.752869,-95.37894,SINGLE_FAMILY,396912.0,5000.688,316
27808836,235999,8617 Dosia St,Houston,TX,77051,3.0,2.0,1485.0,29.667707,-95.35816,SINGLE_FAMILY,258296.0,4399.56,49
28223332,339500,14668 Perthshire Rd APT C,Houston,TX,77079,4.0,3.0,2726.0,29.77525,-95.60748,TOWNHOUSE,356404.0,1558.0,12
27812811,475000,8310 Parnell St,Houston,TX,77051,3.0,3.0,2360.0,29.671432,-95.37547,MULTI_FAMILY,121132.0,5512.0,82
28534851,478000,7802 Percussion Pl,Houston,TX,77040,4.0,3.0,2889.0,29.886513,-95.52519,SINGLE_FAMILY,492582.0,8934.156,9
80386658,355000,7846 Crystal Moon Dr,Houston,TX,77040,4.0,3.0,2593.0,29.893555,-95.51807,SINGLE_FAMILY,361602.0,6842.0,46
27777478,380000,7334 Texas St,Houston,TX,77011,5.0,3.0,2282.0,29.732533,-95.29486,MULTI_FAMILY,309315.0,4251.456,33
62565148,379000,16127 Woodbend Trail Dr,Houston,TX,77070,3.0,3.0,2615.0,30.004972,-95.57772,SINGLE_FAMILY,336064.0,5641.02,26
28113305,700000,1902 Port Royal Dr,Houston,TX,77058,5.0,4.0,3400.0,29.538542,-95.08706,SINGLE_FAMILY,478398.0,0.2511,53
161437622,634999,1207 Hickory St #G,Houston,TX,77007,3.0,4.0,2822.0,29.769358,-95.37175,SINGLE_FAMILY,594662.0,1511.532,53
27811750,165000,2811 Amboy St,Houston,TX,77026,4.0,2.0,1444.0,29.786701,-95.325165,SINGLE_FAMILY,154588.0,5000.688,2
28330931,249900,8107 Misty Ridge Ln,Houston,TX,77071,3.0,3.0,1860.0,29.638458,-95.5214,SINGLE_FAMILY,247013.0,5248.98,39
